Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,1.531579,1.644302,1.384112,1.432282,1.432282,7012047
2017-11-12,1.430927,1.434279,1.254017,1.303336,1.303336,13120669
2017-11-13,1.308756,1.489160,1.303108,1.446129,1.446129,10493698
2017-11-14,1.448410,1.487163,1.329718,1.350903,1.350903,6641445
2017-11-15,1.346823,1.378153,1.268018,1.298973,1.298973,6463673
2017-11-16,1.320820,1.428394,1.303333,1.339718,1.339718,7580778
2017-11-17,1.341527,1.342944,1.267956,1.280726,1.280726,7215162
2017-11-18,1.281574,1.421843,1.270440,1.419766,1.419766,27276605
2017-11-19,1.418943,1.442576,1.330900,1.375177,1.375177,32451385
2017-11-20,1.385249,1.414041,1.324713,1.384160,1.384160,11072342
2017-11-21,1.412892,1.413809,1.321036,1.340767,1.340767,4634404
2017-11-22,1.354761,1.371950,1.321094,1.364271,1.364271,6074996
2017-11-23,1.363298,1.367750,1.297763,1.307030,1.307030,7082994
2017-11-24,1.324610,1.534075,1.312947,1.439824,1.439824,10188935
2017-11-25,1.439204,1.640939,1.419925,1.570721,1.570721,10762699
2017-11-26,1.588215,1.622221,1.531601,1.553727,1.553727,7593569
2017-11-27,1.568567,1.636499,1.499606,1.632208,1.632208,19175571
2017-11-28,1.645539,1.645816,1.569122,1.618087,1.618087,30703663
2017-11-29,1.624190,1.732762,1.419558,1.477835,1.477835,36926679
2017-11-30,1.486196,1.730661,1.486447,1.678408,1.678408,26525046
2017-12-01,1.678391,1.800194,1.612959,1.741299,1.741299,24280596
2017-12-02,1.747043,1.779510,1.679611,1.753015,1.753015,20466566
2017-12-03,1.754067,2.002818,1.727807,1.878585,1.878585,29658823
2017-12-04,1.904597,2.176913,1.903633,2.099671,2.099671,34740204
2017-12-05,2.108208,2.300842,2.108030,2.193829,2.193829,41580727
2017-12-06,2.181260,2.349945,1.990395,2.192215,2.192215,35353694
2017-12-07,2.159776,2.473209,2.111118,2.361493,2.361493,24038311
2017-12-08,2.349728,2.438166,1.925332,2.406214,2.406214,32853196
2017-12-09,2.402261,2.437385,1.980916,2.218999,2.218999,23135838
2017-12-10,2.262275,2.291262,1.880058,2.110453,2.110453,16366534
2017-12-11,2.135651,2.394236,2.125626,2.298641,2.298641,16498514
