Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,0.000982,0.001078,0.000978,0.001030,0.001030,1912956
2017-11-12,0.001019,0.001037,0.000859,0.000890,0.000890,2820720
2017-11-13,0.000897,0.001039,0.000875,0.001038,0.001038,2127471
2017-11-14,0.001030,0.001062,0.000963,0.001005,0.001005,2256629
2017-11-15,0.001009,0.001141,0.001000,0.001136,0.001136,2410609
2017-11-16,0.001144,0.001210,0.001091,0.001180,0.001180,2906274
2017-11-17,0.001173,0.001184,0.001081,0.001114,0.001114,2363673
2017-11-18,0.001109,0.001174,0.001063,0.001164,0.001164,1397660
2017-11-19,0.001149,0.001205,0.001137,0.001173,0.001173,1220043
2017-11-20,0.001171,0.001217,0.001148,0.001187,0.001187,1824608
2017-11-21,0.001202,0.001232,0.001109,0.001183,0.001183,2595963
2017-11-22,0.001194,0.001737,0.001170,0.001543,0.001543,15948620
2017-11-23,0.001540,0.001896,0.001540,0.001596,0.001596,22049540
2017-11-24,0.001638,0.001669,0.001507,0.001599,0.001599,8035172
2017-11-25,0.001612,0.001737,0.001573,0.001737,0.001737,4552330
2017-11-26,0.001737,0.001788,0.001575,0.001699,0.001699,6431148
2017-11-27,0.001676,0.001707,0.001584,0.001670,0.001670,5196396
2017-11-28,0.001673,0.001994,0.001638,0.001994,0.001994,7020206
2017-11-29,0.001969,0.002180,0.001680,0.001755,0.001755,9346271
2017-11-30,0.001728,0.001914,0.001586,0.001747,0.001747,4134720
2017-12-01,0.001724,0.001884,0.001654,0.001807,0.001807,4422668
2017-12-02,0.001785,0.001861,0.001697,0.001807,0.001807,4187215
2017-12-03,0.001760,0.001968,0.001745,0.001875,0.001875,4007794
2017-12-04,0.001861,0.002085,0.001835,0.002076,0.002076,5314865
2017-12-05,0.002085,0.002259,0.002045,0.002096,0.002096,7415402
2017-12-06,0.002109,0.002256,0.002069,0.002256,0.002256,7665164
2017-12-07,0.002187,0.002427,0.002134,0.002311,0.002311,13387105
2017-12-08,0.002319,0.002418,0.001982,0.002362,0.002362,10028562
2017-12-09,0.002356,0.002419,0.002062,0.002224,0.002224,5580185
2017-12-10,0.002216,0.002331,0.001961,0.002164,0.002164,4771752
2017-12-11,0.002178,0.002459,0.002153,0.002376,0.002376,5959355
2017-12-12,0.002373,0.002882,0.002265,0.002814,0.002814,16377310
2017-12-13,0.002816,0.003303,0.002740,0.002924,0.002924,26318773
2017-12-14,0.002914,0.003159,0.002904,0.003150,0.003150,19896552
2017-12-15,0.003117,0.003240,0.002951,0.003201,0.003201,16204731
2017-12-16,0.003206,0.005319,0.003095,0.005049,0.005049,116025351
2017-12-17,0.005035,0.006490,0.004754,0.005096,0.005096,84660819
2017-12-18,0.005057,0.005774,0.004786,0.005459,0.005459,37476704
2017-12-19,0.005433,0.005675,0.004624,0.004787,0.004787,32853751
2017-12-20,0.004748,0.005950,0.004131,0.005609,0.005609,57101962
