Date,Open,High,Low,Close,Adj Close,Volume
2023-05-07,0.892916,0.893900,0.892622,0.893646,0.893646,24189053150
2023-05-08,0.893624,0.893867,0.908283,0.908975,0.908975,16994957677
2023-05-09,0.909001,0.908367,0.907132,0.910197,0.910197,29881786755
2023-05-10,0.910205,0.911215,0.912195,0.912681,0.912681,20179860384
2023-05-11,0.912676,0.912894,0.911414,0.911290,0.911290,28867940486
2023-05-12,0.911267,0.917033,0.915464,0.917068,0.917068,23947212857
2023-05-13,0.916851,0.916634,0.921680,0.914631,0.914631,26348891317
2023-05-14,0.914568,0.915044,0.914320,0.914797,0.914797,14313557341
2023-05-15,0.914831,0.915020,0.914386,0.921868,0.921868,13705455012
2023-05-16,0.921814,0.920655,0.919391,0.919908,0.919908,19859974039
2023-05-17,0.920007,0.920849,0.920551,0.920430,0.920430,18260573213
2023-05-18,0.920394,0.923024,0.922097,0.922770,0.922770,22415137706
2023-05-19,0.922733,0.929326,0.928030,0.928137,0.928137,20875676386
2023-05-20,0.928082,0.926708,0.923820,0.924579,0.924579,16096657649
2023-05-21,0.924581,0.924963,0.924443,0.924797,0.924797,10955773553
2023-05-22,0.924868,0.925080,0.925314,0.924127,0.924127,12503574468
2023-05-23,0.924089,0.925799,0.924529,0.925189,0.925189,15925249154
2023-05-24,0.925230,0.926191,0.927914,0.928647,0.928647,19890441046
2023-05-25,0.928607,0.928973,0.929182,0.929789,0.929789,23529065467
2023-05-26,0.929707,0.931703,0.932132,0.932570,0.932570,19542179049
2023-05-27,0.932525,0.933076,0.932142,0.932171,0.932171,17809242370
2023-05-28,0.932207,0.932693,0.931888,0.932320,0.932320,11586251988
2023-05-29,0.932365,0.932619,0.932471,0.932886,0.932886,19813271293
2023-05-30,0.933054,0.933446,0.933406,0.934228,0.934228,20841109014
2023-05-31,0.934250,0.932730,0.934007,0.931969,0.931969,20030356809
2023-06-01,0.932017,0.935747,0.934683,0.935462,0.935462,21671639903
2023-06-02,0.935350,0.935734,0.928590,0.929654,0.929654,19260835764
2023-06-03,0.929685,0.930153,0.928648,0.933758,0.933758,19477664296
2023-06-04,0.933766,0.933980,0.933424,0.933548,0.933548,12525104424
2023-06-05,0.933571,0.934588,0.934917,0.934996,0.934996,13933456462
2023-06-06,0.935045,0.933374,0.935462,0.933883,0.933883,31562478243
2023-06-07,0.933927,0.935778,0.936312,0.934859,0.934859,28892362689
2023-06-08,0.934855,0.937451,0.934505,0.934019,0.934019,26223844344
2023-06-09,0.934105,0.927916,0.929207,0.927742,0.927742,16864600782
2023-06-10,0.927642,0.929198,0.929960,0.930272,0.930272,16913338875
2023-06-11,0.930330,0.931353,0.930060,0.930339,0.930339,36820485507
2023-06-12,0.930377,0.930814,0.930003,0.930522,0.930522,16314280380
2023-06-13,0.930401,0.931268,0.928960,0.929216,0.929216,19589602948
2023-06-14,0.929140,0.925552,0.925881,0.926689,0.926689,21971745142
2023-06-15,0.926646,0.924291,0.924080,0.922061,0.922061,21230251790
2023-06-16,0.922037,0.925256,0.919056,0.912849,0.912849,24414969853
2023-06-17,0.912812,0.912361,0.913829,0.912088,0.912088,20666633742
